position_title;required_skills
Digital Marketing Manager;['search marketing', 'digital marketing', 'prioritization', 'account management', 'problem solving', 'project management', 'client strategy development', 'communication skills', 'client communication', 'client relationship management', 'client retention', 'leadership', 'strategic thinking', 'digital platforms', 'e-commerce', 'teamwork']
Accounts Receivable;['collections', 'attention to detail', 'prioritization', 'communication', 'problem solving', 'meeting deadlines', 'accounts receivable', 'adaptability', 'account reconciliation', 'basic math', 'customer service']
Acquisitions Associate;['real estate investments', 'investment memoranda preparation', 'written communication', 'problem-solving', 'asset management', 'financial analysis', 'underwriting', 'commercial real estate transactions', 'financial modeling', 'investor presentation preparation', 'due diligence', 'analytical skills', 'excel', 'verbal communication', 'strategic thinking', 'deal execution']
Administrative Brokerage;['client needs identification', 'expense tracking', 'independent work', 'proposal creation', 'contact management', 'oral communication', 'organization', 'work ethic', 'calendar management', 'phone skills', 'travel arrangement', 'teamwork', 'administrative support', 'people skills', 'marketing support', 'initiative', 'email communication', 'adobe creative suite', 'microsoft power user', 'written communication', 'multitasking', 'invoice generation']
Advertising Sales;['revenue generation', 'influencing', 'sales', 'communication', 'networking', 'relationship building', 'client base diversification', 'organizational skills', 'prospecting', 'analytical skills', 'strategic thinking', 'sales pipeline management', 'solution development', 'opportunity management (short & long-term)']
Alliance Marketing;['public relations', 'digital marketing', 'social media marketing', 'team management', 'content creation', 'brand management', 'sales tools development', 'integrated marketing strategy', 'problem solving', 'relationship building', 'analyst relations', 'event management', 'leadership', 'demand generation', 'marketing automation', 'channel marketing']
Data Science Manager;['people management', 'mentoring', 'communication', 'statistical analysis (hypothesis testing, regressions)', 'technical mentorship', 'problem solving', 'product understanding', 'sql', 'quantitative analysis', 'r', 'data analysis', 'strategic thinking', 'python', 'cross-functional team leadership']
Art Director;['figma', 'layout design', 'critical thinking', 'creative and strategic thinking', 'creative direction', 'photo editing', 'photoshop', 'presentation design', 'communication', 'design aesthetic', 'art direction', 'illustrator', 'creative ideation', 'organizational skills', 'presentation', 'visual direction', 'photo retouching', 'storyboarding', 'digital design', 'design concepts', 'problem solving', 'color trends', 'print design', 'collaboration', 'video editing', 'adobe creative suite', 'photography', 'motion design', 'logo design', 'multimedia design', 'compositing', 'project management', 'branding', 'indesign', 'animation', 'typography', 'quality control (preferred)', 'keynote', 'photo production', 'integrated multichannel art direction']
Audit Staff Accountant;['microsoft word', 'auditing', 'depreciation calculation', 'accounting', 'computer proficiency', 'communication (written and verbal)', 'financial statement preparation', 'analytical procedures', 'microsoft excel', 'internal controls testing', 'tax', 'reconciliation']
Nurse Case Manager;['written communication', 'utilization review', 'case management', 'microsoft office applications', 'monitoring of member utilization', 'continuous quality improvement (cqi)', 'monitoring of claim patterns', 'leadership', 'clinical nursing', 'verbal communication', 'primary care management']
Chronic Care Nurse;['chronic condition management', 'clinical experience (acute medical/surgical setting)', 'rn license (nc or multistate)', 'patient education', 'patient assessment', 'health coaching', 'care coordination', 'pain management']
Compliance Analyst;['data privacy regulations (ccpa, gdpr, pipeda)', 'cloud infrastructure', 'compliance', 'risk assessment', 'software development lifecycle (sdlc)', 'team management (onsite and offsite)', 'data mapping', 'retail domain', 'data flow creation']
Designer;['sales', 'communication', 'interpersonal skills', 'color coordination', 'customer relationship building', 'computer proficiency', 'active listening', 'design', 'translation of customer needs', 'texture coordination']
Personal Care Assistant;['communication', 'reliability', 'cpr/first aid', 'meal preparation', 'companionship', 'light housekeeping', 'social engagement', 'medication reminders', 'time management', 'driving (if applicable)', 'punctuality', 'professionalism']
Technical eCommerce Consultant;['sales', 'load balancing', 'customer acquisition', 'business acumen', 'jdbc', 'marketing', 'project requirements definition', 'html', 'user testing', 'websphere application server', 'client relationship management', 'data analysis', 'puppet', 'weblogic', 'jenkins', 'jndi', 'communication', 'container deployment', 'communication skills (written & verbal)', 'seo', 'log file analysis', 'sales funnel optimization', 'presentation', 'hcl commerce', 'cms platforms', 'email marketing', 'chef', 'attention to detail', 'insights', 'ecommerce', 'ldap/oud', 'j2ee (servlets, jsps, ejbs, web services)', 'consulting', 'lead generation', 'sterling order management', 'tcp/ip', 'jms', 'google analytics', 'revenue growth', 'cross-functional team management', 'a/b testing', 'ppc', 'pki/tls', 'listening', 'customer lifetime value optimization', 'ruby', 'influencing', 'cross-selling', 'merchandising', 'linux', 'project management', 'heatmapping', 'upselling', 'category management', 'nginx', 'apache', 'dns']
Mobile App Developer;['mobile application development', 'programming', 'proficiency in frameworks', 'proficiency in programming languages', 'coding', 'web application development']
Kitchen Prep/Cleaner;['servsafe certification', 'holiday availability', 'labeling', 'food hygiene', 'dishwashing', 'heavy lifting (up to lbs)', 'packaging', 'light prep', 'cleaning', 'weekend availability']
Marketing Program;['b2b marketing', 'stakeholder management', 'prioritization', 'audience segmentation', 'saas marketing', 'webinar execution', 'software marketing', 'microsoft excel', 'analytical skills', 'retail marketing', 'content sourcing', 'ecommerce marketing', 'process automation', 'email marketing', 'technology marketing', 'go-to-market strategy']
Test Center Administrator;['public speaking', 'reading comprehension', 'pc operation', 'interpersonal skills', 'exam administration', 'stress management', 'verbal communication', 'paperwork completion', 'observation skills', 'understanding exam procedures']
Office Clerk;['data entry', 'communication skills', 'general office skills', 'computer literacy']
Project Manager;['water and wastewater infrastructure design', 'team leadership', 'microsoft word', 'water resources management', 'scheduling software (ms project)', 'proposal writing', 'microsoft excel', 'bluebeam/pdf software', 'teamwork', 'engineering design (water distribution, sewage collection, stormwater systems, etc.)', 'listening skills', 'problem solving', 'project coordination', 'deadline management', 'construction permitting', 'prioritization', 'project management', 'collaboration skills', 'analytical skills', 'multitasking']
Real Estate Agent;['negotiation', 'pricing', 'sales', 'interpersonal skills', 'logistics', 'relationship building', 'technology proficiency', 'communication skills', 'advertising']
Systems Administrator;['operating systems (os) management', 'cloud-based application administration', 'helpdesk ticketing systems', 'endpoint solutions management', 'identity provider integration', 'laptop and desktop management', 'user and computer group policies', 'active directory', 'remote monitoring and management solution', 'system deployment', 'systems administration', 'communication', 'backup recovery', 'networking', 'public dns settings', 'microsoft office suite proficiency', 'windows administration', 'meraki management', 'email systems management', 'storage device management (nas, san)', 'backup solutions management (software and hardware)', 'vmware management', 'systems maintenance', 'cloud administration (aws, azure)', 'cisco meraki', 'application server management', 'tcp/ip protocols', 'firewall management', 'ssl certificate administration (public ca)', 'antivirus management', 'web conferencing tools', 'communication skills (verbal and written)', 'software and hardware management', 'backup job configuration', 'remote desktop tools']
Technical Support Specialist;['resourcefulness', 'installation', 'technical troubleshooting', 'sales', 'communication', 'maintenance/repair', 'electrical', 'cable management', 'multitasking', 'customer service']
